Title,Year,Genre,Plot,Language,Poster,IMDBRating,Director,Production,Error
Masters of the Universe,2026,"28, 12, 14","Almost two decades after crashing down to Earth, Prince Adam is whisked back across space to defend his home planet of Eternia against the evil forces of Skeletor. But to defeat such a powerful villain, Prince Adam will first need to uncover the mysteries of his past and become He-Man: the most powerful man in the Universe.",en,https://image.tmdb.org/t/p/w500/arSooSSFyjTfh9DU1jy8MnoxrCz.jpg,0,Travis Knight,"Escape Artists, Mattel Films, Amazon MGM Studios, Metro-Goldwyn-Mayer",
The Twits,N/A,"16, 35, 10751, 14","Mr. and Mrs. Twit are the meanest, smelliest, nastiest people in the world who also happen to own and operate the most disgusting, most dangerous, most idiotic amusement park in the world, Twitlandia. But when the Twits rise to power in their town, two brave orphans and a family of magical animals are forced to become as tricky as the Twits in order to save the city.",en,https://image.tmdb.org/t/p/w500/69FC9DA5vuIiVsxdTmXAxj7v9O5.jpg,0,Phil Johnston,"The Roald Dahl Story Company, Jellyfish Pictures",
The Amateur,2025,"53, 28","After his life is turned upside down when his wife is killed in a London terrorist attack, a brilliant but introverted CIA decoder takes matters into his own hands when his supervisors refuse to take action.",en,https://image.tmdb.org/t/p/w500/SNEoUInCa5fAgwuEBMIMBGvkkh.jpg,0,James Hawes,"20th Century Studios, Hutch Parker Entertainment",
Stars in Broad Daylight,1988,18,"In his debut feature film, director Muhammad explores the inexorable dissolution of a family, ironically during the planning of a wedding, the kind of ritual that ought to bond family members together in shared joy. The film exposes the divisive dynamics of patriarchal oppression, and the terrible connections between familial and sociopolitical violence.",ar,https://image.tmdb.org/t/p/w500/JHgkTjcrA8R0FI3RLK9BWm3QwS.jpg,6.7,Ossama Mohammed,The National Film Organization,
Come the Morning,1993,,"In search of her estranged husband, a mother brings her 3 children to Los Angeles in the hope of finding him. With no prospects they wander the streets; becoming beggars before long. Things start to turn around for them when the mother meets a Christian missionary.",en,https://image.tmdb.org/t/p/w500/vQsMhL00lUOIhUa24xVOgVPjwVs.jpg,3,Michael O. Sajbel,World Wide Pictures (WWP),
Seevalaperi Pandi,1994,"28, 18","Seevalaperi Pandi is a 1994 Tamil drama film directed by Prathap K. Pothan. The film features Napoleon in lead role making his debut as hero. The film, produced by P. G. Srikanth, had musical score by Adithyan and was released on 23 June 1994. The film is based on the life of 'Seevalaperi' Pandi.",ta,N/A,6,Prathap Pothan,Radhi Films,
Universal Groove,2024,"18, 36","Filmed in 1999, Universal Groove explores 90s rave culture through eight diverse characters seeking escape and self-discovery amidst drugs and dance, offering a nostalgic journey into the underground party scene of the era.",en,https://image.tmdb.org/t/p/w500/l52k9R7FbTjAlboh4AQ8Tw5DOeZ.jpg,10,François Garcia,IMPACT MEDIA,
The Killer's Game,2024,"28, 35, 80","When top hitman Joe Flood is diagnosed with a terminal illness, he decides to take matters into his own hands – by taking a hit out on himself. But when the very hitmen he hired also target his ex-girlfriend, he must fend off an army of assassin colleagues and win back the love of his life before it's too late.",en,https://image.tmdb.org/t/p/w500/4bKlTeOUr5AKrLky8mwWvlQqyVd.jpg,6.9,J.J. Perry,"STXfilms, Dogbone Entertainment, Mad Chance, Endurance Media, K. JAM Media",
Remedy,2005,"80, 18","A NYC artist is witness to his best friend's murder - or was he? Due to a drug problem, he can't recall what happened. Now he is the prime suspect and desperately tries to remember before it's too late.",en,N/A,5,Christian Maelen,"Starline Films, Lucy's Bone Productions",
Rain Falls from Earth: Surviving Cambodia's Darkest Hour,N/A,99,"On April 17, 1975, the face of Cambodia would forever be changed. As Khmer Rouge soldiers marched into the capital city of Phnom Penh, the unsuspecting people of Cambodia had little idea they would be forced into a living nightmare that would last nearly four years. Rain Falls From Earth is a story of courage, a story of survival and a story of eventual triumph over the Communist regime that was responsible for the deaths of over two million people. The voices of many Cambodians are heard as they convey their thoughts, ideas and emotions - the very things they were forced to abandon in the ""killing fields"" of Cambodia. Their stories are an eyewitness account to genocide.",en,https://image.tmdb.org/t/p/w500/k8fmhzkofNo6p2JNDjJdaFx3Eu.jpg,0,Steve McClure,"Ghost-2-Eleven Entertainment, Industry Entertainment, Hanuman Films, SAG-AFTRA",
Maybe It's True What They Say About Us,2024,"18, 53","Ximena, a successful psychiatrist, receives an unexpected visit from her elder daughter, Tamara, after a long time without seeing her. Her stay at a spiritual community has distanced and completely changed her. While Tamara takes refuge in her mother's home, an investigation is opened into the disappearance of Tamara's newborn son in strange circumstances within the sect to which she belongs. Both the law and Ximena will try to find out what has happened to the missing baby.",es,https://image.tmdb.org/t/p/w500/cUT2d0Czgh3HjGrKL4J8Wo5VMw9.jpg,6,Sofía Paloma Gómez,"b-mount film, Storyboard Media, Morocha Films, Murillo Cine",
The Dog Thief,2024,18,"Martín is a 13-year-old orphan shoeshine boy from La Paz, Bolivia, who has lived his entire life in the streets with the hope and desire to find his father. Driven by this desire and his imagination, Martin begins to suspect that one of his best clients is his father; Mr Novoa, a lonely tailor whose only emotional bond is his dog, Astor, a fine German shepherd whom he cares for like a son.",es,https://image.tmdb.org/t/p/w500/sHweRz8RKrudkpNWru0rTJmEIAO.jpg,0,Vinko Tomičić,"Color Monster, Calamar Cine, Machete Producciones, Jirafa, Easy Riders Films, Zafiro Cinema, Aguacero Cine, Movimento Film",
Fear and Love: The Story of The Exorcist,2024,"99, 27","A intimate reflection at the making of and cultural phenomenon of one of the most popular and profitable horror films ever made, The Exorcist (1973).",en,https://image.tmdb.org/t/p/w500/hiBRNl2AnfbY8llQQP8KIB9kLJ0.jpg,0,John Larkin,Legacy of The Exorcist Productions LLC.,
Amityville: Where the Echo Lives,2024,"27, 9648","When paranormal investigator Heather West receives a call from a terrified woman who claims her house is inhabited by a ghost, she discovers the building has a horrifying history. After a presence from beyond our world reaches out to her, Heather begins to feel a pull to the other side of the spirit plane. Can this hunter of specters deliver an innocent soul to a place of peace and discover an eternal truth in time to save her own life?",en,https://image.tmdb.org/t/p/w500/jqhAgE9ceTX8f9xTcqBlmXSuMG3.jpg,6.3,Carlos Ayala,Ghost Box Productions,
Flight Risk,2025,"53, 18","A pilot transports an Air Marshal accompanying a fugitive to trial. As they go across the Alaskan wilderness, tensions soar and trust is tested as not everyone on board is who they seem.",en,https://image.tmdb.org/t/p/w500/4cR3hImKd78dSs652PAkSAyJ5Cx.jpg,0,Mel Gibson,"Davis Entertainment, Icon Productions, Hammerstone Studios, Lionsgate, Media Capital Technologies",
Art of Eight Limbs,2024,"28, 53",Four canisters of deadly VX nerve gas have fallen into the hands of an international arms dealer in Myanmar. A CIA recruit delivers a high-tech detection device to an agent already on the ground.,en,https://image.tmdb.org/t/p/w500/tZRypLd2SU3Eeqg5tD5cwkk5CdL.jpg,5.1,Robert Grasmere,"McIntosh Films, Tiger Style Media, Topanga Venom Media",
Lady Scorpions,2024,"28, 80","An ex-FBI agent's fight against a crime syndicate becomes personal when they kidnap her granddaughter. She and her daughter, both martial arts masters, form an unstoppable team. Together, they outmaneuver and defeat the syndicate's henchmen in a calculated game of cat and mouse, on a relentless mission to save her and topple the criminal empire.",en,https://image.tmdb.org/t/p/w500/vLKsSOCASmJU6oUbiE2msiDsSmF.jpg,5.4,Bruce Del Castillo,"Tiger Style Media, McIntosh Films, Topanga Venom Media",
The Lockdown,2024,28,"Siblings Charlie and Jack are trapped in Myanmar's toughest prison and accused of a crime they didn't commit. Forced into televised fights against other inmates, they must work together and fight for their freedom.",en,https://image.tmdb.org/t/p/w500/qfOGQp4QMC8bPdATzOgEEc4LKPz.jpg,5.7,Ryan C. Jaeger,"Tiger Style Media, McIntosh Films, Topanga Venom Media",
The Windigo,2024,"27, 53","An ancient Chippewa demon, the WINDIGO, is resurrected by a Native American teenager and his grandmother to protect their family after a run-in with back-woods meth dealers. They soon discover that the creature’s lust for killing cannot be controlled. As each killing bonds the teen and the Windigo ever closer, the family must find a way to break the curse before all of them become the blood-thirsty creature’s next victims.",en,https://image.tmdb.org/t/p/w500/n9CEFtMNROmv9S2GVhEsNhrJurP.jpg,2.2,Gabe Torres,Gylden Entertainment,
Lavinya,2024,"18, 53",,tr,https://image.tmdb.org/t/p/w500/bZCxg47D3gfxPDqDBRefX75Oa7F.jpg,0,Can Varol,Bircan Film,
Perspectiva,2024,"878, 18","In the near future, technology will allow us to see what's going to happen in our lives, creating an illusion of future by using our memories and cognitive processes. LookApp is a brand new app that, for some money, can show you the right path. Aaron, although very aware of the harm and the number of addicted victims, uses it against warnings due to his suspicions about his girlfriend and best friend's affair.",es,https://image.tmdb.org/t/p/w500/e7jW5JDUsXQAgmCgNSvi0vnKqkI.jpg,7.4,Ben Blas,,
Megalopolis,2024,"18, 878","Genius artist Cesar Catilina seeks to leap the City of New Rome into a utopian, idealistic future, while his opposition, Mayor Franklyn Cicero, remains committed to a regressive status quo, perpetuating greed, special interests, and partisan warfare. Torn between them is socialite Julia Cicero, the mayor’s daughter, whose love for Cesar has divided her loyalties, forcing her to discover what she truly believes humanity deserves.",en,https://image.tmdb.org/t/p/w500/8Sok3HNA3r1GHnK2lCytHyBz1A.jpg,5.6,Francis Ford Coppola,"American Zoetrope, Caesar Film",
