Title,Year,Genre,Plot,Language,Poster,IMDBRating,Director,Production
Iro no Shiiku,1984,,,ja,N/A,2,Daikichi Shinba,
Motto Hoshii,1984,,,ja,N/A,2,Kinya Ogawa,
Brown Target,1984,18,"Yokosuka in the early 1980s. The military town, which once prospered from the Vietnam War economy, was exhausted, lifeless, and in ruins due to the aftereffects of the Vietnam War. Fumio, who lived hand to mouth, working as a prostitute for American soldiers and selling yak. One day, Fumio is lynched by the group's thugs for a trivial mistake. Fumio, who was covered in blood and unable to move, was later rescued by a black man who happened to be passing by. The black man's name was Al. Although he is a military veteran, he did not return to the United States and continued to live in Yokosuka, aiming to become a professional jazz pianist. After receiving kindness from someone for the first time, Fumio falls in love with Al, but since Al is straight, he rejects Fumio's courtship, but out of concern for Fumio who has no place to live, they start living together as close friends...",ja,https://image.tmdb.org/t/p/w500/mMqvxLz0BvzIKNQLybzRFDtQose.jpg,2,Masayoshi Nogami,"Rui Promotion, ENK Promotion"
Sexual Beast Sacrifice,1984,,"Tomio, a college student, lives in a Western-style house where strange people live, such as his landlady Yukiko and her older brother Kishi, the crook Hosoda, and his idiot wife Tamae, Miyamoto, who lost both legs in the war, his mistress with tattoos, Nozawa, who has no energy, and Shizue, a lover with heart disease. Detective Harada recently discovered the strangled corpses of four women, and while the local residents are suspicious and conducting a secret investigation, a strange incident has occurred, and suspicion falls on Tomio...",ja,https://image.tmdb.org/t/p/w500/6kx7NFeyZsqruqVfeNoUVAV66Vl.jpg,2,Akaji Maro,
Watashi no naka no shōfu,1984,,,ja,https://image.tmdb.org/t/p/w500/bI4KNwQjhoEQphPnKB5tS1SR2Lf.jpg,2,Kazunari Takeda,"Nikkatsu Corporation, New Century Producers"
Kinbaku Muchi to Nawa,1984,,,ja,https://image.tmdb.org/t/p/w500/anthHPJ0aq57anAhymFH5wuFowz.jpg,2,Itsumichi Isomura,
Eat the Young Fruit!,1984,18,"A comedy set in an entertainment production company on the outskirts of the world. This is a place for men who aspire to be in the entertainment industry and have a chance to make their debut, even if it's just a production company. Waiting for them are some lewd men during a strange festival that has been passed down in Kurume, Kyushu.",ja,https://image.tmdb.org/t/p/w500/a8eee8t4hZJzj0leGyq7mGd7cFr.jpg,2,Katsurō Sakai,"SKI Project, ENK Promotion"
Pink Shot: Mô Ichido Nurashite,1984,,,ja,https://image.tmdb.org/t/p/w500/kASOc4sHGUjZ82YtBvXP2VgkvZ9.jpg,2,Yukio Kitazawa,
Molester Groping Train,1984,,"""Groper Train"" pink film distributed by Okura Eiga.",ja,https://image.tmdb.org/t/p/w500/qvD2qXCsFkJBGQE1ENQhkfuGL0H.jpg,0,Ichirô Kitami,
USA Girl: Sex Counselor,1984,,,ja,N/A,2,Yukio Kitazawa,
Hong Kong The Actual Climax,1984,,Pinku distributed by Shintoho.,ja,https://image.tmdb.org/t/p/w500/bk457zak8KasrOKsBCgzKGB1X42.jpg,2,Rumi Tama,"Production Taka, Shintoho Pictures"
Jôji Hunter,1984,,,ja,https://image.tmdb.org/t/p/w500/aZutm8DcYVo1MM2XOcLjfXPoBmA.jpg,2,Daikichi Shinba,
Hitozuma ryôjoku,1984,,Pink film by Kazuo 'Gaira' Komizu.,ja,https://image.tmdb.org/t/p/w500/ggmKg811ydsQ7KDn3OO5wXMNcGW.jpg,3,Kazuo Komizu,Shintoho Pictures
Sex suspense: Rizu no atsui hada,1984,,,ja,https://image.tmdb.org/t/p/w500/eLLQ5lN9uEq5YvYHIRYKukNGLr8.jpg,2,Kinya Ogawa,Okura Pictures
"The Lesbian Fingers, Tongues and Lips",1984,,Lesbian pinku from 1984.,ja,N/A,2,Masahiko Akanuma,Shintoho Pictures
Monzetsu Biyōshi: Iro Geshō,1984,,,ja,https://image.tmdb.org/t/p/w500/ajpJFa5JnnBhR1I2NazmxiL4gX2.jpg,2,Yukio Kitazawa,
A Ilha de Moraes,1984,99,"This film, made as a ""twin"" of A ilha dos amores, was planned as a poetic documentary on the enigmatic life of Wenceslau de Moraes (1855-1929), the great Portuguese writer who lived in the Far East. Verbal testimony, photographs, manuscripts, images of Lisbon, Macao, Kobe and Tokushima in Moraes' time are set side by side with A ilha dos amores and with de Moraes' writings. The director, Paulo Rocha, visited places where Moraes was still remembered, interviewed the writers descendants, consulted archives, rummaged through memories, appointment books, postcards, diaries and calendars from the private life of the 19th century. And above all he set out on a new journey, from Lisbon to Macao to Kobe until he reached Tokushima, where Moraes lived through the final ruin of his life and where Rocha tracks down, between the city and the cemetery, the living presence of places and the memories of individuals.",pt,https://image.tmdb.org/t/p/w500/l0R9M2sDhlHuBgvI2yhb3gZlcWm.jpg,5.2,Paulo Rocha,Suma Filmes
Sea of Vanity,1984,,"A film adaptation (funded by Ken Togo) based on an expose book by a person involved in the Japanese entertainment industry of the time. The book describes among other things the drug-fueled parties, orgies of the entertainment business and what some celebrities like Johnny Kitagawa among others were allegedly up to in their free time. Basically giving an open-book about the secrets of the entertainment-world. The film adapts and portrays some of the shocking scenes of this book, focussing more on the gay-aspect of the expose.",ja,N/A,2,Masayoshi Nogami,ENK Promotion
Seifuku kyōjidai,1984,18,"Women who belong to date clubs that cater to the needs of high-ranking customers in various uniforms, and the men who seek them...",ja,https://image.tmdb.org/t/p/w500/3QjyYClHn2KqWAm42cQ2kjNMuEt.jpg,2,Rumi Tama,Production Taka
Porno Suspense: Ejiki,1984,,,ja,N/A,2,Jirō Komoro,
Lolita: Ikenai Tawamure,1984,,,ja,N/A,2,Kinya Ogawa,
OL Osotte Ubau,1984,,,ja,N/A,2,Kazuyoshi Sekine,
ONANIE 24 Hours,1984,,"At dawn, Yuki goes out onto the balcony and indulges in masturbation in a bold pose. Michiko spreads butter on her private parts and writhes in pleasure as her dog licks them. Hiroko, a nurse, is a lecherous woman who goes out to the city after her shift to hunt for men and masturbates without hesitation if a customer at a bar requests it. Emi, a female college student, discovers the joy of masturbation with a vibrator she found in a friend's room. Mari, thinking of her lover who died in a traffic accident, gazes out at the sea and fondles her private parts with her fingers. Saeko, a wealthy madam, has a habit of getting drunk and masturbating in the toilets of bars...",ja,N/A,0,Toshimitsu Masuda,"Shintoho Pictures, Gunsei Production"
Sanjigen tōshi: Sex ultra eye,1984,35,"A gynecologist, his son and a friend have erotic adventures with a device that can see through clothes.",ja,https://image.tmdb.org/t/p/w500/mdkWxPfuKrNX18e9HgABuATON23.jpg,2,Masakazu Yoshioka,
Pervert First Night,1984,,Pink film distributed by Million.,ja,N/A,0,Toshimitsu Masuda,Million Film
Kôkishin rape,1984,,"An outlet for the desires of a distorted youth! Women, women, women are attacked one after another in parks, abandoned houses, elevators, and even toilets.",ja,N/A,0,Kan Mukai,
"Another Time, Another Place",1983,"18, 10749, 10752","Set in 1943 in Scotland during World War II. Janie is a young housewife married to a man named Dougal, 15 years her senior. As part of a war rehabilitation program, Janie and Dougal welcome three Italian POWs to work on their farm. Soon, Janie falls in love with one of them...",en,https://image.tmdb.org/t/p/w500/anoPMnxdrL4B7EMZZA5tQCmod65.jpg,5,Michael Radford,"Umbrella, Associated-Rediffusion Television, The Scottish Arts Council, Film4 Productions"
The Compass Rose,1983,18,"Exiled Chilean director Patricio Guzmán filmed in Cuba and in Venezuela to create this controversial statement on the creation and survival of Latin American culture from the late-15th century to the present. For some viewers, the film will be superficially symbolic and rhetorical, for others, it will be a strong and personal vision of several centuries of history.",es,https://image.tmdb.org/t/p/w500/y8xIP9GUgTPn3J2J8piZBMWfFKZ.jpg,4.1,Patricio Guzmán,"ICAIC, Departamento de Cine de la Universidad de los Andes"
