Title,Year,Genre,Plot,Language,Poster,IMDBRating,Director,Production
Go to Hell!!,1997,"16, 36, 878, 35, 27","Based on the premise that ""God"" is actually an alien called G.D., who wiped out the dinosaurs and populated the Earth with apes from his own planet (who eventually evolve into us). ""The Devil"" is actually his son, ""Little Red"", who disagrees with what he is doing and pops up throughout history trying to upset G.D.'s plans.",en,https://image.tmdb.org/t/p/w500/sLTIstD2umiQSA4NZo9iq8AjDaK.jpg,4,Ray Nowland,Ray Nowland Productions
Royal Blues,1997,35,,da,N/A,6,Lotte Svendsen,"Dansk Novellefilm, Per Holst Filmproduktion"
Deadlock,1997,"27, 35","Barry and Susan O'Brien are a young married couple who have just inherited a house. They love their beautiful new home, and decide to throw a party. The party is partly to show off their new digs and partly because Barry, an actor, wants to butter up the producer of a soap opera in hopes that his character won't be killed off. But the O'Briens soon discover that they have to worry about death in the real world too, because a flock of demons is hiding out in one of the closets, waiting to be released.",en,https://image.tmdb.org/t/p/w500/xbFDFER7dGNvNpGqB6O1MxKXeJV.jpg,4.7,Stuart Chapin,
The Hyena,1997,"53, 10749","An ex-model gets caught up in lust, murder and betrayal when a gun-wielding man pays her a visit.",it,https://image.tmdb.org/t/p/w500/tsd0VmRdkMLbM7bYFelDai8Soqz.jpg,4.1,Joe D'Amato,"Rewind Film, GOLD FILM"
The Medal,1997,18,"Turin 1953. Lidia is a war widow with a ten year old daughter, Anna. She works in a factory, where does political work for the Communist Party.",it,https://image.tmdb.org/t/p/w500/4ILrM5rWNtHhVNdeL2ggDCop7Gx.jpg,0,Sergio Rossi,"A.M.A. Film, RAI"
Gabriel's Dream,1996,99,"In 1948, four large, wealthy Belgian families sell all their belongings and embark on a voyage to Patagonia. Slowly most of them return, but Gabriel, one of the fathers, stays until his death in 1988.",en,https://image.tmdb.org/t/p/w500/5oJG6O4X3VgEutvH1l37DRJvMXF.jpg,0,Anne Lévy-Morelle,
Teach Me Tonight,1997,"53, 9648, 10749","Michael and Janie are a pair of young grad students living together on a quiet college campus. One day, Janie discovers that Michael has been cheating on her. She walks out on him, only to come back the next day to find him dead of a gunshot wound. The police suspect Janie, but the evidence seems to implicate Janie's friend, Frankie. Somehow, Janie must find a way to prove herself innocent while still protecting her friend.",en,https://image.tmdb.org/t/p/w500/iOVkq0LUOokYeVrDUOFq8hig1pV.jpg,5.2,Rick Blaine,Playboy Entertainment Group
Just Add Love,1997,"35, 10749","Charlotte is getting a divorce. Leonard is her attorney and her partner. He's already divorced. Nick is the new guy at the firm, a young stud on the prowl. Will these middle-aged professionals find love in the personal ads, of all places?",en,N/A,0,Jesse Griffith,Visionary Dreamscapes Entertainment
Pressure Point,1997,"53, 28","A CIA assassin is embroiled in a deadly game across two continents. Betrayed and imprisoned, he faces one last mission to regain his freedom, his family and his self respect. Stars Steve Railsback, Larry Linville.",en,https://image.tmdb.org/t/p/w500/u3u4qyYz3imG98CkCn9cxxdfvLM.jpg,2.1,David Giancola,"Edgewood Entertainment, Q. Entertainment"
A Woman Very Very Very Much in Love,1997,,"French TV star Nagui, described by Variety as ""popular for his lowbrow-Letterman approach,"" portrays Zak, who learns about ""the curse of Onan"" experienced by males in his family. If Zak does not impregnate a woman before his 33rd birthday, the joys of sex evaporate forever. However, Zak's interest in married women creates a roadblock. Even his current girlfriend, art auctioneer Florence (Cristiana Reali) is a married mother of triplets. So Zak's rabbi cousin Joseph (Thomas Langmann) fixes him up with an attractive supermodel (Joanna Rhodes). It's a race against time before permanent impotence strikes.",fr,https://image.tmdb.org/t/p/w500/vm7embgaUn8o1HmWg7pJAHr6dPj.jpg,2.5,Ariel Zeitoun,
Destination: 9th Heaven,1997,18,A father and daughter struggle with relationships as China regains control of Hong Kong.,zh,https://image.tmdb.org/t/p/w500/1fQukC5yAGCLbkdXqp9oXP60k5p.jpg,0,N/A,
Green,1998,,"A four-part chronicle of Phoenix young adults, trying to figure out what the hell went wrong while tripping on bad acid.",en,N/A,4,Karl T. Hirsch,
Ken Russell: In Search of the English Folk Song,1997,99,"This documentary begins with Ken Russell posing the question: ""What is a true English folk song, if there is such a thing?"" After recieving an indifferent response from his dog, Ken journeys around the countryside of England searching for an answer. He bumps into and interviews such famous artists as; Donovan, Fairport Convention, Osibisa, Eliza Carthy, So What, Edward II and The Albion Band among others.",en,https://image.tmdb.org/t/p/w500/k3pyFWPucslQxIX6srt6HmeKcbm.jpg,6.5,Ken Russell,
97' Lan Kwai Fong,1997,18,"Seven young ladies who grew up in the housing projectget along well together, although they have different personalities. The seven always hang out around the Lan Kwai Fong area and named the group ""Lan Kwai Fong Seven Princesses"". Later after a dispute with the ""West Kowloon Center Pair of Queens"", the seven princesses suddenly are swept into the midst of a crime wave, as the seven even begin to fight among themselves...",cn,https://image.tmdb.org/t/p/w500/9JdocoMkm3y8NcZJ2FG70Va0Lvs.jpg,0,Joe Hau Wing-Choi,Fruit Production Co.
The Man of the Day,1997,"18, 53",,ro,https://image.tmdb.org/t/p/w500/8SwA5LtvyMBqkwsRrKZfaVC6AFU.jpg,7,Dan Pița,"Solaris Film, CNC"
Tango Is a Sad Thought to Be Danced,1997,18,"A famous fashion designer returns to his birthplace in a tiny Serb town, in the wake of the recent war. Although the inhabitants still love to dance the tango and live life's pleasures to the full, the Mafia have gained a foothold.",sr,https://image.tmdb.org/t/p/w500/4SGbfQRV3KCuQI2vfyBT17oEC0P.jpg,3.5,Mladomir 'Puriša' Đorđević,"Viktorija Film, Radiotelevizija Beograd"
"Ah Fai, the Dumb",1997,35,"Ah Fai, the Dumb",cn,https://image.tmdb.org/t/p/w500/rD85Udf97na97NEocEG1C15q7C0.jpg,3,Derek Chiu,
Armageddon,1997,"28, 14, 35, 27","The world's ten most influential scientists are being mysteriously killed, one by one, spontaneously combusted, microwaved to death, or otherwise. Another scientist, software prodigy Dr. Ken, searches for clues to these bizarre happenings only to see his fiancee apparently return from the dead. As indications point to the end of the world, It appears that Dr. Ken may be the only one who can save humanity.",cn,https://image.tmdb.org/t/p/w500/cOew4yLykaR3R8kpCABQSEP5oBv.jpg,4.9,Gordon Chan,
Ultraman Zearth 2: Superhuman Big Battle - Light and Shadow,1997,"28, 12, 10751, 878","Not long after, Benzene’s wife, Lady Benzene arrived to try her luck. Sending her evil Ultraman Shadow to attack the hero, he was ambushed in Antarctica, easily being pummeled and being given a bloodshot eye. Finally, he was struck by the Shadolium Beam, which due to his fear, overwhelmed his own, knocking him out. The battle left Zearth emotionally crushed and unable to fight due to complete terror of Shadow. But, after receiving a message from his father, as well as a capsule monster named Miraclon, Zearth decided to train and become powerful enough to face the evil android.",ja,https://image.tmdb.org/t/p/w500/3rbiUpTnvsDt6ayJtWUj4Z9Pwuu.jpg,7,Kazuya Konaka,Tsuburaya Productions
02:00 A.M.,1997,27,"The sequel to ""1:00 A.M,"" bringing you another three ghostly stories. First, see what happens when a costumer uses the mask of a dead actress to design a new wig. Second, witness three actresses' curiosity-gone-bad when they discover that their agent is messing around with the spirit of a deceased woman. And third, watch a commercial film-shoot cut short when the filmmakers are haunted by the apparition of a young boy.",cn,https://image.tmdb.org/t/p/w500/n3nriidJrwRgRDFLlN3KfyAeHsy.jpg,4,Andy Chin,
You Are Here,1997,"10749, 35","After getting laid-off, a businessman accepts his boss' offer of a week at his gorgeous country estate. On a whim, the businessman asks a casual acquaintance (at whom he frequently waves while en route to work) to join him.",en,N/A,0,Tom Rooney,
97 Aces Go Places,1997,"28, 35","Eternal 25 year-old Alan Tam is a wimpy triad boss who must avenge his dad because he had a heart attack after losing at cards to a pretty cat burglar. For help, he enlists Drunk Shooter, HK’s ace gunman, who’s also an incredible souse. Problem: Christy ripped off wacky triad boss Francis Ng, so he wants her, too. Even worse, Alan just doesn't want to kill Christy because she’s too damn beautiful. Hijinks ensue.",cn,https://image.tmdb.org/t/p/w500/jXqKHMzalZvuSWaXJx9Gl5ybK43.jpg,3.8,Chin Ka-Lok,"Mandarin Films Ltd., Eastern Bright Motion Picture Ltd."
An Act of Conscience,1997,99,"When a young couple buys a contested home at auction from the U.S. government for $5,400, they become involved in a political and moral battle much larger than what they originally bargained for.",en,https://image.tmdb.org/t/p/w500/4EtXj2YPf8RGjwDvaHIvxakh2Xh.jpg,0,Robbie Leppzer,"Cinemax Reel Life, Turning Tide Productions"
Barnone,1997,35,Mike is a burned-out bartender who gives Al a hard time because he is the new guy at the bar. Cal and Stu are regulars and keep getting into trouble by antagonizing the boss who is constantly juggling a bevy of interested babes.,en,https://image.tmdb.org/t/p/w500/iwe21loWXD5QXcE5nh1k0JVc0C8.jpg,0,Mark Tuit,Burning Giraffe Pictures Inc.
First Love Unlimited,1997,"10749, 18, 35",Only the lack of roses in every frame prevent this teen romance from being a live action Shojo Manga.,cn,https://image.tmdb.org/t/p/w500/tGekHBPpcarHu3C0UOV8m1sERBq.jpg,6,Joe Ma,
Firebird,1997,10749,A man aids his friend by assisting him in disposing of the body of his ex-girlfriend.,ko,https://image.tmdb.org/t/p/w500/c6HfNewK7O0bijLPeBdpshmhS5q.jpg,7.5,Kim Young-bin ,Daewoo Media & Filmed Entertainment
Hong Kong Night Guide,1997,99,"The film documents the night life scenes of both Hong Kong and Macau, from nightclubs, sauna baths to young ladies making category III VCDs.",cn,https://image.tmdb.org/t/p/w500/1eSIV9bJ9alpy8dlAEnRVcWc4k9.jpg,5,Jim,
Fitness Tour,1997,35,"Manager Hou is very wealthy, and he comes up with another idea to make money. He organized a weight loss tour which lets the fat man go to the tourist side of the Three Gorges River. There they can both go sightseeing and lose weight.",cn,https://image.tmdb.org/t/p/w500/hf0cDXXKTP1StLKLAwaQMKhbqFv.jpg,0,Liu Guoquan,Sil-Metropole Organisation
Intruder,1997,"27, 80","A mainland Chinese girl is, with her husband, a wanted criminal and they have to get to Hong Kong in order to stay alive and be free.",cn,https://image.tmdb.org/t/p/w500/ukv0X2a30Gc1CYh1Enr6GmbXNbi.jpg,6.1,Tsang Kan-Cheong,"Win's Entertainment Ltd., Milkyway Image"
Immigrants' Memories,1998,99,A three part story of the North African immigration to France.,fr,https://image.tmdb.org/t/p/w500/rhIHkf4jb6dR3BXjhf5TfV6NjiH.jpg,9.5,Yamina Benguigui,Canal+
Enjoy Yourself Tonight,1997,18,A bizarre look at the many things happening at a Hong Kong nightclub in one night.,cn,https://image.tmdb.org/t/p/w500/q9ASlBI2Fe5xinuMjO81UCjRoDz.jpg,2.5,Sam Ho Shu-Pui,
Rurouni Kenshin: Requiem for the Ishin Patriots,1997,"16, 28, 14","The war against the Tokugawa Shogunate ended years ago. But there are some who are not happy with the outcome. Shigure Takimi watched his friends and family get slashed down in the name of freedom and prosperity. Now he and a band of desparate rebels have sworn to settle one final score. Only one man stands in their way: Rurouni Kenshin. Will the former assassin take up his sword to fight again? When Shigure discovers Kenshin's true identity and his fight becomes a personal vendetta, the young hero will have no choice.",ja,https://image.tmdb.org/t/p/w500/14iwocaqk0oL4Ec63OpSZuKBASy.jpg,7,Hatsuki Tsuji,Studio Deen
The Sanguinaires,1997,"18, 35, 10770","In December of 1999, François organizes a retreat to a small island for himself, some friends, and their children to avoid the craziness of Paris during the turn of the millennium. Things quickly become tense between François and the young man who is the island's caretaker. Boredom and bickering add to the growing foreboding. By the end, will millennial noise in Paris seem mild in comparison to violence in the pastoral retreat?",fr,https://image.tmdb.org/t/p/w500/zWmrUlsKeuKkKI0aMmolR46FMw6.jpg,6.9,Laurent Cantet,
"Ghost Story ""Godmother of Mongkok""",1997,"35, 80, 27",Three supernatural tales: ceremonial paper figures come to life; a ghost helps a woman seduce a triad boss; a gang plans to assassinate an accountant.,cn,https://image.tmdb.org/t/p/w500/jjUqxbJhNC89DpTcl5leLt8KrGI.jpg,3.5,Steve Cheng Wai-Man,
Desire,1997,18,"Three women who come from different backgrounds work hard to earn a living in Manila, but realize that they are victims of sexual exploitations. A television producer is forced to have sex with her boss in exchange for an opportunity to produce a new programme. That almost costs her marriage. A temporary teacher and her colleagues are sent by their principal to give a dance performance at a ministry officer's birthday party. They are gang-raped or almost gang-raped by the officer and his guests. A bus ticket seller accidentally kills one of the men who tries to gang-rape her, but all the bus passengers who witness the scene refuse to go to court to help her defending the charge of murder. Although the three women do not know each other, they end up taking the same bus leaving Manila and heading to the rural area.",tl,https://image.tmdb.org/t/p/w500/9fHbbD4UW4AgvMOdkLTdC8CK6u0.jpg,1,Joel Lamangan,Viva Films
Partigiani,1997,"99, 10752",,it,https://image.tmdb.org/t/p/w500/5ttTIJxN5aYipQQoSvMyNc0N8mB.jpg,6,Guido Chiesa,
Fantômes de Tanger,1998,,"The protagonist, or ""the visitor"" is a French writer who goes to Tanger for a research on all the complexity the place has shown, since WWI, in terms of nationality, colonialism, ethny and ethics -- Tanger itself appears as a great challenge to frontiers in general.",fr,https://image.tmdb.org/t/p/w500/9LJx3MPBPWmhsHntYyP1LpIyvxt.jpg,5,Edgardo Cozarinsky,
Ghulam-E-Musthafa,1997,"18, 28, 80","The film revolves around a gangster named Mustafa (Patekar) who is a contract killer and can go any limit to please his superiors and offers 5 times Namaz. He was adopted by a powerful don Shanta Prasad (Rawal) when he was a child. He calls Shanta as Abba (an Urdu term for father). Abba taught him the crime tactics and made Mustafa his weapon for his illicit crimes. Mustafa's only aide is Sudama, his childhood best friend. Abba shares enmity with the Verma brothers Mahesh, Rohan and Bipin (Pradhan, Joshi and Bahl) which the trio wants to kill Abba. Meanwhile, a dancer Kavita (Tandon) who works in Verma's dance club.",hi,https://image.tmdb.org/t/p/w500/hXKl08qjZc8KHP72vGppgvMgQ3n.jpg,6.1,Partho Ghosh,
The Last Bus Home,1997,,"Though it is late in the punk rock movement, four Dublin youths get together in 1979 to form their own band. Accurately recounting the energy and rawness of the era, this drama follows their tumultuous and ill-fated journey on the rocky road to success. It takes three long years of unpaid performing for Reena, her lover Jessop, bassist Joe and drummer Petie to make a name for The Dead Patriots. Just as they are about to find real success, internal difficulties arise that leave each of them suspicious and mistrustful of the other.",en,https://image.tmdb.org/t/p/w500/chYJTihJDvaBtLacxB17wvEDaoS.jpg,1,Johnny Gogan,
Killing Me Hardly,1997,28,"Fu Pui-yu directs this low-budget, critically panned Hong Kong knockoff of Charlie's Angels, about a shadowy figure named Charlie who dictates over a trio of voluptuous crime-fighters named Sunny (Jade Leung Ching), Moony (Christine Ng Wing-mei), and Starry (Paulyn Suen Kai-kwun). While being followed by nebbish journalist Bob (Michael Chow Man-kin) and coping with their own personal issues, the three are being targeted by Andy, a crazed arms-dealer who is seeking vengeance on Charlie for the death of his wife following a particularly ugly FBI raid years previous. Since Charlie's a hard man to find, the villain takes his wrath out on his friends and employees -- especially his three angels.",cn,https://image.tmdb.org/t/p/w500/d9woIX3Qnx19UEgjPWvMTfYjUiz.jpg,0,Fu Pui-Yu,Times Production
