Title,Year,Genre,Plot,Language,Poster,IMDBRating,Director,Production,Error
Ronquillo,1993,"10749, 28, 18",,tl,https://image.tmdb.org/t/p/w500/iDXNy6ctlNq46kUor52mNjFEIVl.jpg,6,Joey Del Rosario,"Regal Entertainment Inc., Star Cinema – ABS-CBN Film Productions",
Gunman II,1988,80,"The border of Burma and Thailand is lawless place, where people live and die by the law of the gun. Into this situation comes a young police lieutenant, intent on reforming the rough and rowdy local police force along the Salween River. But the ongoing fight by the Karen tribe against the Burmese government spills over into the Thailand, making the lieutenant's task a difficult one.",th,N/A,6.2,Chatrichalerm Yukol,,
El gorra prieta,1993,18,,es,N/A,5,Alberto Mariscal,,
Ranger II: El narcotunel,1993,,,es,https://image.tmdb.org/t/p/w500/bezEkxQKfYKl5umZ05z1T33DSlh.jpg,5,N/A,,
Angels of Death,1993,27,"When they were younger, a pair of beautiful sisters were forced to watch a bunch of thugs brutally kill their parents. Not bad enough? Well, OK then, they were also savagely raped. Now someone's going around slashing people up. Has one or both of the sisters lost it? A couple of police detectives try to find out.",es,https://image.tmdb.org/t/p/w500/xGjW8PeonIBt9HIyMrhbxXgH4XC.jpg,5.7,Fernando Durán Rojas,,
Canada Naturally: The Film (Part One),1993,99,Documentary about naturism in Canada.,en,N/A,0,David P. Ball,Heritage Video Int.,
Isang Bala Ka Lang Part 2,1996,28,"Fernando Poe Jr., stars as a dedicated retired policeman forced to join the police force anew to go after a corrupt politician.Landlord Ernie was making life difficult for, a cop out to help Berting find new lodging as he goes undercover. Ernie shifts gears upon meeting Berting and practically bends over backwards to get the cop as a lodger.Not much later, Ernie decides to start his courtship of Berting by serving his specialty dish: BAHALINA. The madcap flirtation ends in mayhem when the neighborhood goons come for an unexpected visit.- Written by ledster",tl,N/A,0,Fernando Poe Jr.,Vision Films [ph],
Kapag Iginuhit Ang Hatol Ng Puso,1993,"10749, 18","The serial tells the tragic love story of Vina, a single woman who wants to have a baby despite her advanced age. With the help of her best friend, she met Dave, the man she will eventually fall in love and have a child with. Unknown to Vina, Dave was her best friend's lover, and in the end, Vina would discover that her best friend and the man she loved plotted together to ruin her and her son's lives.",tl,https://image.tmdb.org/t/p/w500/5DXwQ4i4O3MSPeA15YzQKJsCHWn.jpg,0,Celso Ad. Castillo,Viva Films,
Maryam and Mitil,1993,"18, 10751","A six-year-old girl (Maryam) who has lost her family in the war, is living in an orphanage. She likes a woman called Fereshteh who lives in a house in front of the orphanage. A family (Nasrin and her husband) adopts her and takes her to the north of Iran. Maryam tries to write to Fereshteh and in a proper situation escapes home to reach her.",fa,https://image.tmdb.org/t/p/w500/94ps8IlFtLyt9nMXJ7IvM4MPyBx.jpg,0,Fathali Oveisi,Hedayat Film,
Un pistolero implacable,1993,,,es,https://image.tmdb.org/t/p/w500/5A8FrDHPb6rDam6CKMTgxq4KhsO.jpg,5,N/A,,
Free and Easy 6,1993,,"Hama-chan and Su-san go fishing during a business trip, but Hama-chan has to give a lecture on Su-san's behalf in a case of mistaken identity.",ja,https://image.tmdb.org/t/p/w500/uYzDC5PRoeIGS4sUD2zIbtd3Zp1.jpg,7.5,Tomio Kuriyama,,
