0,1,2,3,4
2758,1866,4058,363,15740
6595,2150,3159,1096,406
2827,1654,11537,2672,14393
275,11497,13343,3184,519
15981,15639,67,2086,6135
7226,8788,17196,8585,12561
27,5609,7183,8227,7157
3355,11938,4678,12291,8578
5609,8227,7157,8322,8438
17559,16084,8743,6159,15859
1382,10820,13675,4414,10620
48,1115,59,65,46
5609,8438,8322,7157,8227
11815,17204,4555,10855,13653
199,14005,595,1036,11324
6770,12465,27,15756,5609
257,325,14129,1658,817
8543,9478,16361,9504,11497
917,15977,8585,84,6990
20,35,4238,176,7614
19,35,4238,176,9459
13416,16498,2069,8489,1989
6413,14563,8075,6571,2208
5609,8227,7157,8322,8438
5609,7183,8227,7157,8322
12696,11891,3110,2769,13665
40,8677,5609,8322,8227
5609,7183,8227,7157,8322
5609,7183,8227,7157,8322
13978,1684,1311,2032,16231
4513,5195,5517,4865,6017
6072,16753,195,109,87
16666,5609,7183,118,8227
9391,11,48,38,58
5609,8227,7157,8322,8438
20,19,4238,176,7796
67,6135,358,5609,7183
175,402,418,1750,321
11,48,253,1115,33
546,5550,7530,42,8667
26,5609,8677,8227,7157
18046,14901,3662,16737,4703
5550,8667,10191,546,5609
4307,3287,17036,11195,6668
249,534,413,16862,788
16143,6819,17807,730,10953
11,48,9197,59,58
290,143,106,17506,182
253,11,58,1115,59
16203,6059,12689,17854,9656
175,75,1937,3232,402
8881,9072,13178,5653,17942
166,17661,16932,1692,5609
5397,10551,1425,17685,12600
4648,504,9487,10895,3953
17064,14534,436,190,17524
330,13804,356,5097,1450
6611,16666,7333,118,12115
48,11,253,59,65
48,11,65,58,253
631,178,5240,16011,1756
16782,13279,7880,10765,13135
389,2304,15322,2539,1144
282,11028,12697,14508,9873
65,253,1115,1745,48
253,48,11,59,1115
17614,300,3139,8267,15546
5609,8227,7157,8322,7183
129,151,3166,82,10172
3029,7224,16031,17697,4752
10975,9360,1243,1821,17263
6409,8234,176,20,9459
3727,15286,12914,8396,4434
1421,10330,762,9414,3197
13744,5750,2840,6211,13090
175,50,1937,37,418
7884,1010,4988,10207,13691
9769,16813,2992,14172,1418
9947,5014,8741,8627,10151
16976,8066,18016,11531,13533
11412,406,1096,2438,3922
8114,5550,1137,5609,8438
171,322,129,151,68
17841,404,11938,8578,8556
4684,1117,423,5867,917
16703,6732,13236,12697,7459
3826,154,7053,5018,12882
6072,195,4183,3527,3947
508,7701,1320,483,3428
8266,299,12990,3266,6172
11044,16949,7169,11834,15307
7396,12426,4594,12125,891
286,11238,9351,7191,475
279,11855,383,5137,3466
10025,15196,125,8065,56
209,4300,6187,11878,8712
6998,6631,14003,3677,14283
295,1063,6370,3879,660
6888,1110,6277,2653,7684
14884,7831,15934,2847,2317
